model,total
(W) 조던 1 x 트래비스 스캇 레트로 로우 OG SP 카나리,2523
나이키 에어포스 1 '07 WB 플랙스,698
나이키 V2K 런 서밋 화이트 메탈릭 실버,1944
나이키 x 보디 아스트로그래버 SP 블랙 앤 코코넛 밀크,126
나이키 V2K 런 퓨어 플래티넘 울프 그레이,861
뉴발란스 530 화이트 실버,3359
아식스 언리미티드 젤 카야노 14 캐리어 그레이 블랙,3893
아디다스 삼바 OG 블랙 화이트 검,991
버켄스탁 보스턴 소프트 풋베드 토프 - 레귤러,111
우포스 오리지날 블랙,249
뉴발란스 1906R 하버 그레이 실버 메탈릭,211
나이키 V2K 런 메탈릭 실버 화이트,1635
나이키 에어포스 1 '07 로우 트리플 블랙,16412
나이키 에어 줌 스피리돈 케이지 2 메탈릭 실버,1699
나이키 줌X 베이퍼플라이 넥스트% 3 화이트 그레이,4796
(W) 아디다스 스페지알 핸드볼 클리어 핑크,445
아식스 조그 100 S 화이트 블랙 - 2E 와이드 (한국 한정),331
크록스 바야밴드 클로그 화이트 네이비,2684
(W) 조던 1 x 트래비스 스캇 레트로 로우 OG SP 미디움 올리브,1542
(W) 나이키 에어포스 1 '07 로우 화이트,21495
나이키 P-6000 메탈릭 실버,514
뉴발란스 530 프리미엄 빈티지 그레이 매터,2565
아디다스 슈퍼스타 코어 블랙 화이트,9935
아디다스 아딜렛 클로그 블랙 화이트,170
(W) 나이키 줌 보메로 5 포톤 더스트 앤 메탈릭 실버,1373
휠라 에샤페 MS 그레이 화이트,139
(W) 나이키 줌 보메로 5 코블스톤 앤 플랫 퓨터,1427
클락스 왈라비 메이플 스웨이드,556
나이키 캄 슬라이드 블랙,155
나이키 에어포스 1 '07 코코넛 밀크,16734
아디다스 스페지알 핸드볼 코어 블랙,1200
아식스 언리미티드 젤 카야노 14 화이트 펀,2106
킨 샨티 블랙 던 블루,185
조던 11 레트로 그래티튜드,231
리복 x 니들스 비트닉 베이지,100
살로몬 RX 슬라이드 3.0 블랙 플럼 키튼,164
