model,release_price
(W) 조던 1 x 트래비스 스캇 레트로 로우 OG SP 카나리,179000
나이키 에어포스 1 '07 WB 플랙스,169000
나이키 V2K 런 서밋 화이트 메탈릭 실버,139000
나이키 x 보디 아스트로그래버 SP 블랙 앤 코코넛 밀크,189000
나이키 V2K 런 퓨어 플래티넘 울프 그레이,139000
뉴발란스 530 화이트 실버,119000
아식스 언리미티드 젤 카야노 14 캐리어 그레이 블랙,179000
아디다스 삼바 OG 블랙 화이트 검,139000
버켄스탁 보스턴 소프트 풋베드 토프 - 레귤러,209000
우포스 오리지날 블랙,69000
뉴발란스 1906R 하버 그레이 실버 메탈릭,179000
나이키 V2K 런 메탈릭 실버 화이트,139000
나이키 에어포스 1 '07 로우 트리플 블랙,139000
나이키 에어 줌 스피리돈 케이지 2 메탈릭 실버,0
나이키 줌X 베이퍼플라이 넥스트% 3 화이트 그레이,299000
(W) 아디다스 스페지알 핸드볼 클리어 핑크,139000
아식스 조그 100 S 화이트 블랙 - 2E 와이드 (한국 한정),79000
크록스 바야밴드 클로그 화이트 네이비,74900
(W) 조던 1 x 트래비스 스캇 레트로 로우 OG SP 미디움 올리브,179000
(W) 나이키 에어포스 1 '07 로우 화이트,139000
나이키 P-6000 메탈릭 실버,165900
뉴발란스 530 프리미엄 빈티지 그레이 매터,159000
아디다스 슈퍼스타 코어 블랙 화이트,139000
아디다스 아딜렛 클로그 블랙 화이트,55000
(W) 나이키 줌 보메로 5 포톤 더스트 앤 메탈릭 실버,189000
휠라 에샤페 MS 그레이 화이트,99000
(W) 나이키 줌 보메로 5 코블스톤 앤 플랫 퓨터,189000
클락스 왈라비 메이플 스웨이드,258000
나이키 캄 슬라이드 블랙,68700
나이키 에어포스 1 '07 코코넛 밀크,169000
아디다스 스페지알 핸드볼 코어 블랙,139000
아식스 언리미티드 젤 카야노 14 화이트 펀,179000
킨 샨티 블랙 던 블루,103100
조던 11 레트로 그래티튜드,269000
리복 x 니들스 비트닉 베이지,139000
살로몬 RX 슬라이드 3.0 블랙 플럼 키튼,0
아식스 조그 100 S 시트 락 - 2E 와이드,79000
오니츠카 타이거 멕시코 66 화이트 라이트 세이지,170000
나이키 V2K 런 화이트 퍼,139000
아디다스 이지 폼 러너 믹스 그래닛,129000
(W) 아디다스 디오나 2.0 화이트 그레이 투,82400
휠라 인터런 핑크 블랙,99000
(W) 아식스 젤 1130 크림 퓨어 실버,99000
나이키 에어포스 1 '07 화이트 블랙,139000
(W) 아디다스 가젤 볼드 크림 화이트 컬리지에이트 그린,139000
아식스 언리미티드 젤소노마 15-50 스틸 그레이 퓨어 실버,139000
아식스 젤 벤쳐 6 SPS 버치 프렌치 블루,109000
(W) 아디다스 삼바 OG 코어 블랙 원더 화이트,139000
뉴발란스 860v2 화이트 블랙,159000
나이키 x 슈프림 SB 다윈 로우 화이트,162200
버켄스탁 보스턴 소프트 풋베드 토프 - 내로우,169000
아디다스 슈퍼스타 화이트 블랙,109000
조던 1 x 트래비스 스캇 레트로 로우 OG SP 블랙 팬텀,189000
(W) 아디다스 가젤 인도어 블루 퓨전 클라우드 화이트,169000
뉴발란스 1906R 화이트 골드,179000
아식스 조그 100 S 블랙 - 2E 와이드,79000
아디다스 x 스포티 앤 리치 스페지알 핸드볼 어번 크림 화이트,149000
아디다스 삼바 OG 컬리지에이트 그린,139000
뉴발란스 991 메이드 인 UK 네이비,259000
나이키 코르테즈 SE 한글날 바로크 브라운 세일,129000
문스타 810s ET027 마르크 모디 화이트,67300
나이키 에어포스 1 '07 블랙 화이트,139000
호카 본디 8 블랙 - 와이드,199000
나이키 에어맥스 97 트리플 화이트 울프 그레이,219900
(W) 나이키 샥스 R4 블랙 2024,179000
아디다스 토바코 그루엔 크림 화이트 블리스,139000
조던 1 로우 SE 워시드 데님,151200
아디다스 가젤 다크 그린 크림 화이트,129000
아디다스 이지 부스트 350 V2 본,319000
아디다스 가젤 독일 오프 화이트 유틸리티 블랙,137400
(W) 에르메스 오란 샌들 카프스킨 & 골드 피케르 에크루즈,0
(W) 아디다스 삼배 화이트 블랙,0
크록스 클래식 크러쉬 클로그 블랙,89900
뉴발란스 725 그레이,129000
호카 호파라 화이트,179000
나이키 x 슈프림 SB 다윈 로우 블랙,162200
GU 리얼 레더 모카신 슈즈 블랙,43600
아식스 젤 1130 버치 다크 토프 - 한국 한정,109000
아식스 젤 벤쳐 6 밍크 바닐라,99000
아식스 젤 카야노 14 블랙 실 그레이,169000
(W) 아디다스 스페지알 핸드볼 원더 화이트 코어 블랙,151200
아디다스 이지 부스트 350 V2 오닉스,319000
조던 1 로우 까치,159000
(W) 아식스 젤 카야노 14 화이트 문락,159000
호카 오라 리커버리 플립 블랙,79000
나이키 덩크 로우 프로 프리미엄 미디움 커리,149000
나이키 P-6000 프리미엄 트리플 블랙,139000
아디다스 이지 부스트 350 V2 벨루가 - 리플렉티브,329000
나이키 필드 제너럴 82 SP 화이트 바시티 레드,119000
메종 미하라 야스히로 블레이키 OG 솔 캔버스 로우탑 스니커즈 화이트,307700
나이키 줌 보메로 5 화이트 썬더 블루,189000
크록스 바야밴드 클로그 윈터 화이트 멀티,74900
살로몬 XT-6 고어텍스 블랙 실버,280000
문스타 810s ET027 마르크 모디 차콜,67700
(W) 나이키 샥스 R4 블랙 2024,179000
아식스 젤 1130 버치 다크 토프 - 한국 한정,109000
아디다스 이지 부스트 350 V2 벨루가 - 리플렉티브,329000
아식스 x 키스 젤 카야노 14 크림 스카라브,174100
조던 1 로우 라이트 스모크 그레이,119000
이지 YZY 팟 블랙,27600
(W) 아디다스 스페지알 핸드볼 알루미늄 코어 블랙,139000
아디다스 스페지알 핸드볼 코어 블루 크림 화이트,139000
푸마 팔레르모 알파인 스노우 화이트,119000
나이키 P-6000 프리미엄 트리플 블랙,139000
나이키 x 피스마이너스원 에어포스 1 로우 파라노이즈 2.0,219000
나이키 에어 줌 알파플라이 넥스트% 3 프로토 화이트 토탈 오렌지,329000
뉴발란스 1906R 실버 메탈릭,179000
아디다스 아디폼 슈퍼스타 코어 화이트,89000
나이키 덩크 로우 레트로 프리미엄 유니버시티 레드 블랙,152100
푸마 팔레르모 스페셜 핑크 딜라이트 그린,119000
반스 어센틱 44 DX 애너하임 팩토리 에메랄드 그린,85000
나이키 x 퓨츄라 래버러토리 SB 덩크 로우 OG QS 화이트 앤 지오드 틸,159000
(W) 끌로에 우디 플랫 뮬 화이트,0
메종 미하라 야스히로 블레이키 OG 솔 캔버스 로우탑 스니커즈 화이트,309500
아디다스 x 웨일스 보너 SL76 애쉬 블루 코어 블랙,229000
(W) 나이키 코르테즈 화이트 플래티넘 바이올렛,124400
나이키 코트 비전 로우 세일 라이트 오어우드 브라운,120100
크록스 바야밴드 클로그 블랙 화이트,64900
나이키 에어 쿠키니 필그림 세쿼이아,159000
뉴발란스 574 헤리티지 오렌지 버스트 화이트,139000
우포스 클로그 블랙,89000
(W) 아디다스 가젤 볼드 그레이 클라우드 화이트,139000
뉴발란스 530 베이지 앙고라,109000
아식스 젤 벤쳐 6 밍크 바닐라,99000
아식스 조그 100 S SMU 시트 락 퓨어 실버 - 2E 와이드,69000
나이키 ACG 마운틴 플라이 2 로우 블랙,179000
크록스 클래식 클로그 블랙,59900
컨버스 척 테일러 올스타 로우 블랙,55000
호카 호파라 2 블랙,179000
뉴발란스 530 화이트 민트,109000
아식스 젤 소노마 15-50 오이스터 그레이,129000
나이키 V2K 런 라이트 본 메탈릭 플래티넘,125700
나이키 킬샷 2 레더 세일 오일 그레이 검,124400
나이키 이니시에이터 화이트 옵시디언 메탈릭 쿨 그레이,76000
크록스 스톰프 클로그 블랙,0
아식스 x 키스 젤 1130 크림 스카라브,152100
아디다스 이지 슬라이드 슬레이트 그레이,99000
크록스 크록밴드 클로그 화이트,64900
아디다스 VL 코트 베이스 클라우드 화이트 컬리지에이트 그린,0
아디다스 버뮤다 원더 화이트,139000
크록스 클래식 메탈릭 클로그 실버,64900
(W) 나이키 코르테즈 화이트 유니버시티 블루,119000
아디다스 삼바 OG 로얄 블루,139000
(W) 나이키 덩크 로우 블랙,0
살로몬 XT-6 익스팬스 블랙 에보니,255400
(W) 아식스 젤 카야노 14 크림 페퍼,273000
아디다스 스페지알 핸드볼 프리러브 그린 크림 화이트,139000
뉴발란스 725 그레이,129000
뉴발란스 1906R 리커리쉬,189000
(W) 킨 샨티 화이트 블랙,103700
푸마 x 오픈 Yy 스피드캣 프레리 탄 매트 실버,159000
나이키 덩크 로우 SP 화이트 앤 유니버시티 레드 2023,139000
뉴발란스 2002R 이클립스 캐슬락,169000
뉴발란스 410v5 블랙 - 2E 와이드,99000
크록스 바야밴드 클로그 윈터 화이트 멀티,74900
아식스 젤 1130 오이스터 그레이 클레이 그레이,99000
뉴발란스 2002R T2 그레이,149000
아디다스 x 풋 인더스트리 가젤 인도어 오프 화이트 샌드 스트라타,169000
아디다스 버뮤다 컬리지 버건디,145100
아디다스 컨트리 OG 매트 실버 브라이트 블루,149000
(W) 킨 뉴포트 H2 모노크롬 사파리,180100
(W) 나이키 줌 보메로 5 울프 그레이 앤 블랙,219000
(W) 아디다스 아디폼 스탠 스미스 뮬 코어 블랙,88000
살로몬 XT-4 화이트 루나 록,304200
뉴발란스 990v6 메이드 인 USA 그레이 - D 스탠다드,289000
뉴발란스 574 헤리티지 네이비,119000
반스 어센틱 레드,59000
나이키 코비 6 프로트로 리버스,219000
(W) 나이키 코르테즈 화이트 레드 스타더스트,119000
아디다스 삼바 OG 화이트 그린,139000
뉴발란스 530 클래식 그레이,129000
조던 1 레트로 로우 OG 블랙 앤 다크 파우더 블루,159000
아디다스 아딜렛 22 알루미늄,65000
미즈노 웨이브 프로페시 MOC 블랙,269000
나이키 줌X 베이퍼플라이 넥스트% 3 화이트 딥 정글,345700
버켄스탁 보스턴 소프트 풋베드 스웨이드 레더 블랙 - 레귤러,214300
푸마 팔레르모 코발트 글레이즈 화이트,119000
(W) 조던 1 로우 블랙 앤 화이트,139000
나이키 x 피스마이너스원 퀀도1 화이트,219000
메종 미하라 야스히로 피터슨 OG 솔 캔버스 로우탑 스니커즈 내츄럴,290200
아식스 조그 100 T 블랙 - 4E 엑스트라 와이드,59000
나이키 P-6000 라이트 본 메탈릭 실버,0
아디다스 이지 슬라이드 슬레이트 마린,99000
오클리 팩토리 팀 x 브레인 데드 플래시 화이트 버치,298000
나이키 줌 보메로 5 SE 라이트 오어우드 브라운,209000
(W) 나이키 x 트래비스 스캇 에어포스 1 '07 로우 캑터스 잭 유토피아 에디션 화이트,207400
나이키 x 자크뮈스 J 포스 1 로우 LX SP 화이트,179000
토앤토 플립플랍 제로비티 바이오 블랙,49000
아디다스 토바코 그루엔 메사 브라운 데저트,139000
조던 1 레트로 로우 OG 유니버시티 레드,169000
나이키 코르테즈 화이트 블랙,124400
(W) 아디다스 가젤 볼드 핑크 글로우 빅토리 블루,176100
아디다스 삼바 OG 오렌지 러쉬,139000
(GS/PS) 나이키 에어 리프트 블랙 화이트,89000
뉴발란스 x 포터리 574 프리미엄 소프트 그레이,149000
(GS) 나이키 코르테즈 베이직 SL 화이트 블랙,69000
(W) 나이키 에어맥스 코코 샌들 화이트,138300
나이키 코르테즈 블랙 화이트,119000
나이키 덩크 로우 레트로 화이트 폴라 블루,139000
닥터마틴 1461 스무스 블랙,210000
조던 1 로우 월드 메이크 재팬,159000
나이키 P-6000 퓨어 플래티넘,119000
컨버스 x 플레이 꼼데가르송 척 70 로우 블랙,198000
나이키 에어 줌 페가수스 40 엘리우드 킵초게,149000
아디다스 아딜렛 22 샌드 스트라타,65000
오트리 메달리스트 로우 레더 스니커즈 화이트,257200
나이키 야니스 이모탈리티 3 EP 화이트 라이트 포토 블루,99000
(W) 크록스 클래식 플랫폼 클로그 화이트,79900
크록스 에코 클로그 애트모스피어,84900
조던 11 레트로 콩코드 2018,269000
나이키 ACG 워터캣+ 팬텀,149000
(W) 나이키 에어 리프트 브리드 블랙,119000
아디다스 x 웨일스 보너 SL76 옐로우 코어 블랙,229000
(W) 아디다스 가젤 볼드 클리어 스카이 화이트,139000
(W) 나이키 코르테즈 골지 그린 앤 말라카이트,119000
아식스 조그 100 S SMU 글레이셔 그레이 퓨어 실버 - 2E 와이드,79000
아식스 젤 벤쳐 6 SPS 글레이셔 그레이,89000
나이키 줌 보메로 5 라이트 본 앤 블랙,219000
